Z46169212,CC(=O)C=1C=CC(NC(=O)CN2CCCC2)=CC1
Z276754694,CC(C)N(C(C)C)C(=O)C=1C=CC=CC1
Z1799078155,OC=1C=CC(CN2CCC=3C=CC=CC3C2)=CC1
Z254580486,CN(C)C(=O)CN1C=CC=N1
Z123929036,ClC=1C=CC=C(C1)N2CCN(CC#N)CC2
Z1833679631,CCN(C)C(=O)NC1=CN=NS1
Z1994237215,FC(F)(F)C1=CC(CN2CCCC2)=NN1
Z169675004,CN1C=CC(NC(=O)CN2C=CC=N2)=N1
Z1730522163,CC1CN(C(=O)C)C=2C=CC=C(F)C2O1
Z111634612,CC(C)C1=CC(=O)N2N=C(C)N=C2N1
Z45705015,CS(=O)(=O)NCCC=1C=CC(F)=CC1
Z1102357527,O=C(NC1CCC(=O)NC1)C2=CSC=N2
Z1639162606,CNS(=O)(=O)C=1C=CC=C(C)C1F
Z133716556,CS(=O)(=O)NC1CCOC=2C=CC=CC12
Z30272492,CNC(=O)C(C)OC=1C=CC(Cl)=CC1
Z1675346324,CN(C1CC(O)C1)C=2C=C(C)N=C(C)N2
Z212851096,CC1CN(CCO1)C(=O)C=2C=NC=CN2
Z1079512010,CC=1C=C(CN2N=C(C)C=CC2=O)ON1
Z26794351,CCC(=O)NC=1C=CC=2NC(=O)NC2C1
Z1622626423,Cl.CC(N)C(=O)NC1=CC(=NN1)C(F)(F)F
Z44584886,CN1CCN(CC1)C(=O)NC=2C=CC(F)=CC2
Z319891284,CC1=CC(=NO1)C2CCCN2S(=O)(=O)C
Z3006151474,FC(F)OC=1C=CC(=O)NC1
Z1401276297,C1CC2(CCN(C2)C=3C=NC=CN3)CO1
Z1693429442,CC=1C=C(C)N=C(NC(=O)NC=2C=CC=CC2)C1
Z1551999220,CC(CC=1C=CC(Br)=CC1)C(=O)N
Z33486130,CC(=O)NC1=CC(=CC(=C1)C(=O)N)C(=O)N
Z1696844792,OC1CN(C1)C(C=2C=CC=CC2)C=3C=CC=CC3
Z1354370966,FC=1C=C(Cl)C=NC1N2CCNC(=O)C2
Z1272494722,CC1=NSC(NC2CCCC2CO)=N1
Z2012523861,CC(=O)NC=1C=CC(OC(F)F)=CC1F
Z1272517105,CC1=NSC(NC2CCCC2(C)CO)=N1
Z1545196101,CC1=NNC=C1CNC=2C=CC=CC2F
Z1945707490,CC(C)(C)C=1C=C(O)C=CC1O
Z1432018343,C[C@@H](CO)NC=1N=CC(Cl)=CC1F
Z352704742,CC(O)CNC(=O)C=1C=CC(Br)=CC1F
Z1354370680,CN(CCO)C=1N=CC(Cl)=CC1F
Z647156496,CC(O)CNC(=O)C=1C=CC(Br)=CC1C
Z2142244288,CCNC=1C=CC(=CC1F)S(=O)(=O)C
Z839706072,CN(C1CC1)C(=O)CN2C=C(Br)C=N2
Z1522339024,CNC(=O)CN1CCC(=CC1)C(F)(F)F
Z1328078283,CC1(C)CN(C(=O)NCC2CC2)C1(C)C
Z26794305,CC(=O)NC=1C=CC=2NC(=O)NC2C1
Z46169164,FC=1C=CC(NC(=O)CN2CCCC2)=CC1
Z1134240160,CC(C)SC1=NN=C(NC(=O)C)S1
Z212122838,CC1=CSC(CNC(=O)C2CCC2)=N1
Z509756472,O=C(NCC=1C=CC(C#N)=CC1)N2CCOCC2
Z1265813904,CN(C)C(=O)C1=CC=2C=CC=C(F)C2O1
Z2472938267,O=C(NCCN1CCCC1=O)NC=2C=CC=CC2
Z1148165337,CN(C)C(=O)CN1N=CC=2C=CC=CC12
Z384468096,CC(=O)NCC1(CCOCC1)C=2C=CC=CC2
Z445856640,CC(C)NC(=O)N(C)C1CCS(=O)(=O)C1
Z371866204,CNC(=O)NC1=NC=2C=CC(OC)=CC2S1
Z1562155982,Cl.CN(C)C(=O)CC1CCNCC1
Z53825479,CS(=O)(=O)NC1CCCC1
Z1416571195,NC(=O)C=1C=CN=C(NC2CC=CC2)C1
Z2273464199,FC=1C=CC=NC1N[C@H]2CCCNC2=O
Z1973465508,Cl.CN1C=C(C(=O)N)C(=N1)C2CCCNC2
Z2273972081,CC1CN(CC(=O)N1)C=2N=CC=CC2F
Z1457921102,Cl.CN(C(=O)C1CCNC1)C=2C=CC=CC2
Z1601639621,FC=1C=CC=NC1NC2CCCOCC2
Z32279730,COCC(=O)N1CCCC(C1)C(=O)N
Z2073741691,C[C@H]1CN(C[C@@H](C)O1)C(=O)COC(F)F
Z383202616,CC(=O)NC=1C=CC2=CNN=C2C1
Z414477942,CN(C)S(=O)(=O)NC1CCCCNC1=O
Z2365130785,C[C@]1(O)C[C@H](C1)NC=2N=CC=CC2F
Z52425517,CCCC1=NN=C(NC(=O)C=2C=CC=CN2)S1
Z52051587,CN1CCN(CC1)C=2C=CC(NC(=O)C)=CC2
Z1491353358,Cl.N[C@H]1CCN(C1)S(=O)(=O)C=2C=CC=CC2
Z453319206,O=C(NC=1C=CC=2N=CC=CC2C1)C=3C=CC=CC3
Z2017861827,CC(=O)N1C[C@H]2CC[C@H]1C=3C=CC=CC23
Z30857828,CC(=O)NCCC=1C=CC(=CC1)S(=O)(=O)N
Z131516158,CC(NC(=O)C)C1=NN=C2C=CC=CN12
Z1980894300,CC=1C=C(N=C(CO)N1)N2CCCCC2
Z740611958,CC(C)C(=O)NC(C)C=1SC(C)=NC1C
Z2033637875,CN(CC(=O)N)C=1SN=C(C)C1C#N
Z332751146,CN(C)C(=O)C=1C=C(NN1)C2CC2
Z420276166,CC=1N=CSC1C(=O)NCC2CCCC2
Z44603686,CC(C)(C)NC(=O)N1CCC(CC1)C(=O)N
Z54846870,COC(=O)C1CCN(CC(=O)N)CC1
Z915781066,CCC(C)(C)NC(=O)C1=CN=C(C)S1
Z30891796,CC=1C=CC(C)=C(OC(=O)C=2C=CN=CC2)C1
Z285642082,O=C(NC1CC1)C=2C=NN3C=CC=NC23
Z933840894,CNC(=O)NCC=1C(F)=CC=CC1Cl
Z135394292,CC(C)NC(=O)C1=CC(C)=NO1
Z1673618163,CN(CCO)S(=O)(=O)C=1C=CC(N)=CC1
Z744930860,CCC(C)(C)NC(=O)C1=CC(C)=NN1
Z57472297,CC(CO)(CO)NC(=O)NC=1C=CC=CC1
Z272156568,CCOC=1N=CC=CC1C(=O)N
Z1614545742,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)C2=CC=CO2
Z404993336,CC1=CC(=NO1)C(=O)NC=2C=NN(C)C2
Z1446981563,CS(=O)(=O)NC1CCOC2(CCCC2)C1
Z19739650,CC(OC=1C=CC(C#N)=CC1)C(=O)N
Z133729708,CC(NS(=O)(=O)C)C=1C=CC=CC1Cl
Z168801722,CN1CCN(CC1)C=2C=CC(C#N)=CC2
